test_case,true_c,recovered_c,error_pct,mu_total,mu_discovery,mu_execution,r_squared,best_model,pde_form
wave_c050_n64,0.5,0.5,0.0,62.93156856932417,47.965784284662085,14.965784284662087,1.0,wave,∂²u/∂t² = 0.5000² ∇²u
wave_c050_n128,0.5,0.4999999999999999,2.220446049250313e-14,64.93156856932417,48.965784284662085,15.965784284662087,1.0,wave,∂²u/∂t² = 0.5000² ∇²u
wave_c040_n64,0.4,0.4,0.0,62.93156856932417,47.965784284662085,14.965784284662087,1.0,wave,∂²u/∂t² = 0.4000² ∇²u
wave_c060_n64,0.6,0.5999999999999999,1.8503717077085944e-14,62.28771237954945,47.64385618977472,14.643856189774725,1.0,wave,∂²u/∂t² = 0.6000² ∇²u
wave_c030_n32,0.3,0.30000000000000016,5.551115123125783e-14,60.93156856932417,46.965784284662085,13.965784284662087,1.0,wave,∂²u/∂t² = 0.3000² ∇²u
