test_case,true_c,recovered_c,error_pct,mu_total,mu_discovery,mu_execution,r_squared,best_model,pde_form
wave_c050_n64,0.5,0.5000000000000012,2.4424906541753444e-13,62.93156856932417,47.965784284662085,14.965784284662087,1.0,wave,∂²u/∂t² = 0.5000² ∇²u
wave_c050_n128,0.5,0.5,0.0,64.93156856932417,48.965784284662085,15.965784284662087,1.0,wave,∂²u/∂t² = 0.5000² ∇²u
wave_c040_n64,0.4,0.39999999999999963,9.71445146547012e-14,62.93156856932417,47.965784284662085,14.965784284662087,1.0,wave,∂²u/∂t² = 0.4000² ∇²u
wave_c060_n64,0.6,0.5999999999999994,9.251858538542972e-14,62.28771237954945,47.64385618977472,14.643856189774725,1.0,wave,∂²u/∂t² = 0.6000² ∇²u
wave_c030_n32,0.3,0.2999999999999995,1.6653345369377348e-13,60.93156856932417,46.965784284662085,13.965784284662087,1.0,wave,∂²u/∂t² = 0.3000² ∇²u
