test_case,true_D,recovered_D,error_abs,error_pct,mu_total,mu_discovery,mu_execution,r_squared,best_model,pde_form
diffusion_D100_n64,0.1,0.10000000000000017,1.6653345369377348e-16,1.6653345369377348e-13,62.93156856932417,47.965784284662085,14.965784284662087,1.0,diffusion,∂u/∂t = 0.1000 ∇²u
diffusion_D100_n128,0.1,0.10000000000000017,1.6653345369377348e-16,1.6653345369377348e-13,64.93156856932417,48.965784284662085,15.965784284662087,1.0,diffusion,∂u/∂t = 0.1000 ∇²u
diffusion_D200_n64,0.2,0.2000000000000005,4.996003610813204e-16,2.498001805406602e-13,62.93156856932417,47.965784284662085,14.965784284662087,1.0,diffusion,∂u/∂t = 0.2000 ∇²u
diffusion_D050_n64,0.05,0.04999999999999978,2.220446049250313e-16,4.440892098500626e-13,64.10149357076648,48.55074678538324,15.550746785383243,1.0,diffusion,∂u/∂t = 0.0500 ∇²u
diffusion_D150_n32,0.15,0.15000000000000033,3.3306690738754696e-16,2.220446049250313e-13,60.93156856932417,46.965784284662085,13.965784284662087,1.0,diffusion,∂u/∂t = 0.1500 ∇²u
