test_case,true_D,recovered_D,error_abs,error_pct,mu_total,mu_discovery,mu_execution,r_squared,best_model,pde_form
diffusion_D100_n64,0.1,0.10000000000000014,1.3877787807814457e-16,1.3877787807814457e-13,62.93156856932417,47.965784284662085,14.965784284662087,1.0,diffusion,∂u/∂t = 0.1000 ∇²u
diffusion_D100_n128,0.1,0.10000000000000017,1.6653345369377348e-16,1.6653345369377348e-13,64.93156856932417,48.965784284662085,15.965784284662087,1.0,diffusion,∂u/∂t = 0.1000 ∇²u
diffusion_D200_n64,0.2,0.19999999999999996,5.551115123125783e-17,2.7755575615628914e-14,62.93156856932417,47.965784284662085,14.965784284662087,1.0,diffusion,∂u/∂t = 0.2000 ∇²u
diffusion_D050_n64,0.05,0.049999999999999864,1.3877787807814457e-16,2.7755575615628914e-13,64.10149357076648,48.55074678538324,15.550746785383243,1.0,diffusion,∂u/∂t = 0.0500 ∇²u
diffusion_D150_n32,0.15,0.1499999999999997,3.0531133177191805e-16,2.0354088784794538e-13,60.93156856932417,46.965784284662085,13.965784284662087,1.0,diffusion,∂u/∂t = 0.1500 ∇²u
